"level","position","tech_stack","experience","gender","company","company_size","work_type","city","currency","salary_for_other_currency","salary_for_tl_currency"
"Middle","Full Stack Developer","Java, JavaScript | Html | Css","1 - 3 Yıl","Kadın","Kurumsal","250+","Remote","Ankara","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Senior","Full Stack Developer","Php, JavaScript | Html | Css, Flutter, Troia","15 Yıl ve üzeri","Erkek","Outsource","1 - 10 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"50.000 TL ve üzeri"
"Junior","Back-end Developer","Java","0 - 1 Yıl","Kadın","Savunma & Güvenlik","250+","Ofis","İstanbul","₺ - Türk Lirası",,"13.000 TL - 13.999 TL"
"Middle","Full Stack Developer",".Net, JavaScript | Html | Css","3 - 5 Yıl","Kadın","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Middle","Front-end Developer","JavaScript | Html | Css, React","5 - 7 Yıl","Erkek","Kurumsal","250+","Remote","Yurt Dışı","€ - Euro","2.000 - 2.999",
"Junior","Mobile Application Developer","Kotlin","0 - 1 Yıl","Erkek","E-Ticaret","50 - 100 Kişi","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"14.000 TL - 14.999 TL"
"Senior","Full Stack Developer","Java, JavaScript | Html | Css, React","5 - 7 Yıl","Erkek","Outsource","25 - 50 Kişi","Ofis","Ankara","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Senior","Back-end Developer","Java","5 - 7 Yıl","Erkek","E-Ticaret","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"22.000 TL - 22.999 TL"
"Junior","Front-end Developer","JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"13.000 TL - 13.999 TL"
"Senior","Back-end Developer","Java","7 - 10 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Middle","Back-end Developer","Java","3 - 5 Yıl","Erkek","Kurumsal","1 - 10 Kişi","Ofis","Ankara","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Senior","Mobile Application Developer",".Net, JavaScript | Html | Css, React Native","15 Yıl ve üzeri","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İzmir","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Senior","Full Stack Developer",".Net, React","5 - 7 Yıl","Kadın","Startup","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"17.000 TL - 17.999 TL"
"Senior","Full Stack Developer","Java, JavaScript | Html | Css","10 - 14 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"19.000 TL - 19.999 TL"
"Junior","Full Stack Developer","Java, .Net, JavaScript | Html | Css, React","0 - 1 Yıl","Kadın","Dijital / Reklam Ajansı","250+","Hibrit (Ofis + Remote)","İzmir","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Junior","Full Stack Developer",".Net, JavaScript | Html | Css","1 - 3 Yıl","Erkek","Outsource","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İzmir","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Senior","DevOps Engineer","Java, Php, Python, Angular","10 - 14 Yıl","Erkek","Savunma & Güvenlik","250+","Ofis","Ankara","₺ - Türk Lirası",,"22.000 TL - 22.999 TL"
"Senior","Back-end Developer",".Net","10 - 14 Yıl","Erkek","Startup","10 - 25 Kişi","Remote","İstanbul","$ - Dolar","2.000 - 2.999",
"Junior","Full Stack Developer","Java, .Net, JavaScript | Html | Css","3 - 5 Yıl","Erkek","Outsource","250+","Remote","İstanbul","₺ - Türk Lirası",,"11.000 TL - 11.999 TL"
"Middle","Full Stack Developer","Java","3 - 5 Yıl","Kadın","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"14.000 TL - 14.999 TL"
"Senior","Mobile Application Developer","Kotlin, Flutter","3 - 5 Yıl","Erkek","Outsource","1 - 10 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"21.000 TL - 21.999 TL"
"Senior","Back-end Developer",".Net","7 - 10 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Middle","Mobile Application Developer","Java, JavaScript | Html | Css, React, React Native","5 - 7 Yıl","Erkek","Kurumsal","1 - 10 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Senior","Team / Tech Lead","Java","5 - 7 Yıl","Erkek","E-Ticaret","10 - 25 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"28.000 TL - 28.999 TL"
"Middle","Full Stack Developer","Java, React, Angular","1 - 3 Yıl","Kadın","Kurumsal","10 - 25 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Middle","Back-end Developer","Java, Go","5 - 7 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Senior","Business Analyst","React","10 - 14 Yıl","Erkek","Outsource","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Senior","Team / Tech Lead",".Net, JavaScript | Html | Css","15 Yıl ve üzeri","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Middle","Back-end Developer","JavaScript | Html | Css","3 - 5 Yıl","Erkek","Startup","25 - 50 Kişi","Remote","İstanbul","$ - Dolar","2.000 - 2.999",
"Middle","Full Stack Developer","Java, React","1 - 3 Yıl","Erkek","Startup","50 - 100 Kişi","Hibrit (Ofis + Remote)","Yurt Dışı","€ - Euro","10.000 ve üzeri",
"Middle","Front-end Developer","JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"11.000 TL - 11.999 TL"
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css","5 - 7 Yıl","Erkek","Kurumsal","250+","Ofis","Bursa","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Senior","Full Stack Developer",".Net","5 - 7 Yıl","Erkek","Outsource","50 - 100 Kişi","Ofis","Ankara","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css, React","7 - 10 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Middle","Back-end Developer","Java, JavaScript | Html | Css, Jsf","7 - 10 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"23.000 TL - 23.999 TL"
"Senior","Back-end Developer","Python","5 - 7 Yıl","Kadın","Startup","100 - 250 Kişi","Remote","Yurt Dışı","€ - Euro","4.000 - 4.999",
"Junior","Full Stack Developer",".Net","1 - 3 Yıl","Erkek","Startup","1 - 10 Kişi","Pandemi Nedeniyle; Geçici Olarak Remote","İzmir","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Senior","Back-end Developer","Java","5 - 7 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Middle","Full Stack Developer",".Net","1 - 3 Yıl","Kadın","Startup","1 - 10 Kişi","Ofis","Tekirdağ","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Middle","Mobile Application Developer","Java, Kotlin, JavaScript | Html | Css","5 - 7 Yıl","Erkek","Startup","10 - 25 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Senior","Front-end Developer","Vue, Flutter","5 - 7 Yıl","Erkek","Kurumsal","10 - 25 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"13.000 TL - 13.999 TL"
"Middle","Full Stack Developer","Python, React","3 - 5 Yıl","Erkek","Startup","10 - 25 Kişi","Ofis","Ankara","₺ - Türk Lirası",,"22.000 TL - 22.999 TL"
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css","5 - 7 Yıl","Erkek","Startup","250+","Remote","İstanbul","₺ - Türk Lirası",,"23.000 TL - 23.999 TL"
"Middle","Back-end Developer","Java, Kotlin, JavaScript | Html | Css","1 - 3 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Middle","Front-end Developer","JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","Startup","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Junior","Full Stack Developer",".Net, JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","Outsource","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Senior","Team / Tech Lead","Java, Python","10 - 14 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"30.000 TL - 30.999 TL"
"Senior","Team / Tech Lead","Java","7 - 10 Yıl","Erkek","Outsource","250+","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"30.000 TL - 30.999 TL"
"Junior","DevOps Engineer",".Net, C / C++, React","0 - 1 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Senior","Software Architect","Python","15 Yıl ve üzeri","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"32.000 TL - 32.999 TL"
"Senior","Back-end Developer",".Net","10 - 14 Yıl","Kadın","Kurumsal","250+","Remote","İstanbul","$ - Dolar","10.000 ve üzeri",
"Senior","Team / Tech Lead","JavaScript | Html | Css, React","10 - 14 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"27.000 TL - 27.999 TL"
"Middle","Full Stack Developer","Java, .Net","1 - 3 Yıl","Kadın","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Senior","Full Stack Developer",".Net, Python, JavaScript | Html | Css, Vue, Flutter","5 - 7 Yıl","Erkek","Kamu","10 - 25 Kişi","Ofis","Ankara","₺ - Türk Lirası",,"17.000 TL - 17.999 TL"
"Junior","QA / Test Automation Developer","Java","1 - 3 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Middle","DevOps Engineer","Python, Bash","3 - 5 Yıl","Erkek","Diğer","50 - 100 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"14.000 TL - 14.999 TL"
"Junior","QA / Test Automation Developer","Java, JavaScript | Html | Css","1 - 3 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"13.000 TL - 13.999 TL"
"Senior","Software Architect",".Net, NodeJs","10 - 14 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Senior","Full Stack Developer","Php, JavaScript | Html | Css","15 Yıl ve üzeri","Erkek","Dijital / Reklam Ajansı","1 - 10 Kişi","Ofis","Bursa","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Junior","Back-end Developer",".Net","1 - 3 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"8.000 TL - 8.999 TL"
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css, React","7 - 10 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"23.000 TL - 23.999 TL"
"Junior","QA / Test Automation Developer","Java","0 - 1 Yıl","Erkek","E-Ticaret","100 - 250 Kişi","Remote","Yurt Dışı","$ - Dolar",,
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css, React, Angular","7 - 10 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"22.000 TL - 22.999 TL"
"Senior","Back-end Developer","Python","5 - 7 Yıl","Erkek","Startup","50 - 100 Kişi","Remote","Yurt Dışı","$ - Dolar","2.000 - 2.999",
"Senior","QA / Test Automation Developer","Python","7 - 10 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Yurt Dışı","€ - Euro","4.000 - 4.999",
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css, Angular","7 - 10 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"19.000 TL - 19.999 TL"
"Middle","Back-end Developer",".Net, JavaScript | Html | Css, React Native","7 - 10 Yıl","Kadın","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Middle","Back-end Developer","Php, Go","1 - 3 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Junior","Embedded Software Developer","C / C++, ARM Assembly","1 - 3 Yıl","Erkek","Kurumsal","250+","Ofis","Yurt Dışı","$ - Dolar","10.000 ve üzeri",
"Senior","Full Stack Developer","Php, JavaScript | Html | Css","15 Yıl ve üzeri","Erkek","Kurumsal","100 - 250 Kişi","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Middle","Front-end Developer","JavaScript | Html | Css, React","3 - 5 Yıl","Erkek","Startup","10 - 25 Kişi","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Junior","Full Stack Developer","Php, JavaScript | Html | Css","1 - 3 Yıl","Erkek","Dijital / Reklam Ajansı","1 - 10 Kişi","Ofis","Eskişehir","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Junior","Front-end Developer","Flutter","1 - 3 Yıl","Erkek","E-Ticaret","10 - 25 Kişi","Ofis","İstanbul","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Senior","Full Stack Developer",".Net, React","10 - 14 Yıl","Erkek","Outsource","10 - 25 Kişi","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"32.000 TL - 32.999 TL"
"Senior","Mobile Application Developer","Swift / Objective C","5 - 7 Yıl","Kadın","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"26.000 TL - 26.999 TL"
"Senior","Full Stack Developer",".Net, React","5 - 7 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Middle","Back-end Developer","Python","1 - 3 Yıl","Erkek","Startup","1 - 10 Kişi","Ofis","Ankara","$ - Dolar","2.000 - 2.999",
"Senior","Team / Tech Lead",".Net, JavaScript | Html | Css","10 - 14 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Hibrit (Ofis + Remote)","Kocaeli","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Junior","Back-end Developer","Php","0 - 1 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Junior","Back-end Developer","Python","0 - 1 Yıl","Erkek","Startup","1 - 10 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"11.000 TL - 11.999 TL"
"Junior","Front-end Developer","JavaScript | Html | Css, React, Vue","1 - 3 Yıl","Erkek","Outsource","10 - 25 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Senior","Embedded Software Developer","C / C++","5 - 7 Yıl","Erkek","Kurumsal","250+","Ofis","Ankara","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Junior","Data Scientist","Python","0 - 1 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css, React","10 - 14 Yıl","Erkek","E-Ticaret","250+","Remote","Yurt Dışı","₺ - Türk Lirası",,"32.000 TL - 32.999 TL"
"Junior","Full Stack Developer","JavaScript | Html | Css, Angular, Node.js","0 - 1 Yıl","Kadın","Startup","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Senior","Front-end Developer","JavaScript | Html | Css","5 - 7 Yıl","Erkek","Outsource","250+","Remote","İstanbul","€ - Euro","9.000 - 9.999",
"Middle","Full Stack Developer",".Net, JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","Outsource","1 - 10 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Senior","Full Stack Developer",".Net","10 - 14 Yıl","Erkek","Startup","50 - 100 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Junior","Mobile Application Developer","Java","0 - 1 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Middle","Back-end Developer","Plsql ","1 - 3 Yıl","Kadın","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"13.000 TL - 13.999 TL"
"Senior","Back-end Developer","Java, Go","5 - 7 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"29.000 TL - 29.999 TL"
"Senior","Software Development Manager",".Net, Vue","10 - 14 Yıl","Erkek","Diğer","250+","Ofis","Ankara","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Junior","Back-end Developer","Python","1 - 3 Yıl","Erkek","Startup","1 - 10 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Middle","Support Engineer",".Net, Sql","5 - 7 Yıl","Kadın","Diğer","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css, Flutter","15 Yıl ve üzeri","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Middle","Back-end Developer","Java, React","1 - 3 Yıl","Erkek","Fintech / Finans","10 - 25 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"17.000 TL - 17.999 TL"
"Junior","Full Stack Developer",".Net, JavaScript | Html | Css","0 - 1 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Senior","Full Stack Developer","Java, JavaScript | Html | Css, React, Angular","10 - 14 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"24.000 TL - 24.999 TL"
"Senior","Back-end Developer","Java, .Net, JavaScript | Html | Css","10 - 14 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"21.000 TL - 21.999 TL"
"Junior","Seo Specialist","JavaScript | Html | Css","1 - 3 Yıl","Kadın","E-Ticaret","10 - 25 Kişi","Hibrit (Ofis + Remote)","Hatay","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Junior","Full Stack Developer","Java, JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Junior","Machine Learning","Python","1 - 3 Yıl","Erkek","Startup","1 - 10 Kişi","Remote","San Fransisco","$ - Dolar","2.000 - 2.999",
"Senior","Team / Tech Lead","Java, React","7 - 10 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Middle","Full Stack Developer",".Net","5 - 7 Yıl","Erkek","Telekomünikasyon","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Senior","Team / Tech Lead","Java, JavaScript | Html | Css, Angular","5 - 7 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css, React, React Native","7 - 10 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","Kocaeli","₺ - Türk Lirası",,"17.000 TL - 17.999 TL"
"Senior","Back-end Developer",".Net","5 - 7 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"23.000 TL - 23.999 TL"
"Middle","Full Stack Developer",".Net, JavaScript | Html | Css, Angular","3 - 5 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Bursa","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Senior","Full Stack Developer",".Net","7 - 10 Yıl","Erkek","Kurumsal","250+","Ofis","Konya","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Junior","Game Developer",".Net, Unity","1 - 3 Yıl","Erkek","Oyun","1 - 10 Kişi","Remote","İstanbul","$ - Dolar","2.000 - 2.999",
"Middle","Back-end Developer","Java, Go, JavaScript | Html | Css","5 - 7 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Senior","Back-end Developer",".Net","10 - 14 Yıl","Erkek","Startup","250+","Remote","İstanbul","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Junior","Front-end Developer","JavaScript | Html | Css, React, Vue, React Native","1 - 3 Yıl","Erkek","Startup","25 - 50 Kişi","Hibrit (Ofis + Remote)","Sakarya","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Senior","Back-end Developer","Java, JavaScript | Html | Css","5 - 7 Yıl","Erkek","Outsource","50 - 100 Kişi","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"22.000 TL - 22.999 TL"
"Junior","Full Stack Developer","JavaScript | Html | Css, React, Node ","0 - 1 Yıl","Erkek","Kurumsal","250+","Ofis","Ankara","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Senior","DevOps Engineer","Php","7 - 10 Yıl","Erkek","Startup","25 - 50 Kişi","Ofis","Ankara","₺ - Türk Lirası",,"14.000 TL - 14.999 TL"
"Middle","Full Stack Developer","Java, Vue","5 - 7 Yıl","Erkek","Diğer","250+","Hibrit (Ofis + Remote)","Londra","£ - Sterlin","3.000 - 3.999",
"Senior","Team / Tech Lead","Python, C / C++","15 Yıl ve üzeri","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","Stokholm","€ - Euro","4.000 - 4.999",
"Senior","Full Stack Developer","Java, Swift / Objective C, React, React Native","3 - 5 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","Tallinn","€ - Euro","3.000 - 3.999",
"Senior","Team / Tech Lead","Java, .Net, Kotlin","7 - 10 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"33.000 TL - 33.999 TL"
"Junior","Full Stack Developer",".Net, React","1 - 3 Yıl","Kadın","Kurumsal","100 - 250 Kişi","Ofis","İstanbul","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Middle","Mobile Application Developer","Kotlin","1 - 3 Yıl","Erkek","E-Ticaret","250+","Remote","İzmir","₺ - Türk Lirası",,"23.000 TL - 23.999 TL"
"Senior","Full Stack Developer",".Net, Delphi","15 Yıl ve üzeri","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"27.000 TL - 27.999 TL"
"Junior","SAP/ABAP/ERP Developer","Sap","0 - 1 Yıl","Erkek","Kurumsal","25 - 50 Kişi","Ofis","İstanbul","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Junior","Mobile Application Developer","Java, Swift / Objective C","0 - 1 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Senior","Team / Tech Lead",".Net","15 Yıl ve üzeri","Erkek","Startup","1 - 10 Kişi","Ofis","İzmir","₺ - Türk Lirası",,"14.000 TL - 14.999 TL"
"Senior","Full Stack Developer",".Net, Php, Vue","5 - 7 Yıl","Erkek","Startup","1 - 10 Kişi","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"19.000 TL - 19.999 TL"
"Middle","Mobile Application Developer","React Native","1 - 3 Yıl","Erkek","Kurumsal","10 - 25 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"8.000 TL - 8.999 TL"
"Senior","Software Architect","Java","15 Yıl ve üzeri","Erkek","Startup","10 - 25 Kişi","Remote","Yurt Dışı","$ - Dolar","6.000 - 6.999",
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css, Angular","10 - 14 Yıl","Erkek","Kurumsal","10 - 25 Kişi","Ofis","Adana","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Senior","Software Architect","Java","10 - 14 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İzmir","₺ - Türk Lirası",,"22.000 TL - 22.999 TL"
"Junior","Mobile Application Developer","Java, Kotlin","0 - 1 Yıl","Erkek","Kurumsal","250+","Ofis","İstanbul","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Middle","Mobile Application Developer","Kotlin","1 - 3 Yıl","Kadın","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Junior","Back-end Developer",".Net, Xamarin","0 - 1 Yıl","Erkek","Kurumsal","10 - 25 Kişi","Ofis","Kocaeli","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Junior","Game Developer","Unity","0 - 1 Yıl","Erkek","Oyun","1 - 10 Kişi","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Senior","Software Architect","Java","10 - 14 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Yurt Dışı","₺ - Türk Lirası",,"32.000 TL - 32.999 TL"
"Senior","Full Stack Developer","Java, JavaScript | Html | Css, React","5 - 7 Yıl","Erkek","E-Ticaret","10 - 25 Kişi","Remote","ABD","$ - Dolar","4.000 - 4.999",
"Senior","Full Stack Developer","Php, Python, JavaScript | Html | Css, React, Vue, Angular","7 - 10 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"13.000 TL - 13.999 TL"
